
SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095365646   EX 27-OCT-19
896019990095365647   EX 24-OCT-19
896019990095365648   EX 24-OCT-19
896019990095365649   EX 17-NOV-19
896019990095365650   EX 17-NOV-19
896019990095365651   EX 02-NOV-19
896019990095365652   EX 01-NOV-19
896019990095365653   EX 12-NOV-19
896019990095365654   EX 01-NOV-19
896019990095365655   EX 03-NOV-19
896019990095365656   EX 03-NOV-19
896019990095365657   EX 03-NOV-19
896019990095365658   EX 28-OCT-19
896019990095365659   EX 28-OCT-19
896019990095365660   EX 01-NOV-19
896019990095365661   EX 01-NOV-19
896019990095365662   EX 03-NOV-19
896019990095365663   EX          
896019990095365664   EX 03-NOV-19
896019990095365665   EX 02-NOV-19
896019990095365666   EX 02-NOV-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095365667   EX 25-OCT-19
896019990095365668   EX 25-OCT-19
896019990095365669   EX 24-OCT-19
896019990095365670   EX 27-DEC-19
896019990095365671   EX 25-OCT-19
896019990095365672   EX 25-OCT-19
896019990095365673   EX 24-OCT-19
896019990095365674   EX 03-NOV-19
896019990095365675   EX 28-OCT-19
896019990095365676   EX 27-OCT-19
896019990095365677   EX 27-OCT-19
896019990095365678   EX 27-OCT-19
896019990095365679   EX 29-OCT-19
896019990095365680   EX 29-OCT-19
896019990095365681   EX 30-OCT-19
896019990095365682   EX 01-NOV-19
896019990095365683   EX 03-NOV-19
896019990095365684   EX 03-NOV-19
896019990095365685   EX 03-NOV-19
896019990095365686   EX 03-NOV-19
896019990095365687   EX 03-NOV-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095365688   EX 04-NOV-19
896019990095365689   EX          
896019990095365690   EX 04-NOV-19
896019990095365691   EX 04-NOV-19
896019990095365692   EX          
896019990095365693   EX 04-NOV-19
896019990095365694   EX 04-NOV-19
896019990095365695   EX 25-OCT-19
896019990095365696   EX 03-NOV-19
896019990095365697   EX 03-NOV-19
896019990095365698   EX          
896019990095365699   EX 27-OCT-19
896019990095365700   EX 27-OCT-19
896019990095365701   EX 02-NOV-19
896019990095365702   EX 08-NOV-19
896019990095365703   EX 07-NOV-19
896019990095365704   EX 07-NOV-19
896019990095365705   EX 07-NOV-19
896019990095365706   EX 02-NOV-19
896019990095365707   EX 17-NOV-19
896019990095365708   EX 17-NOV-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095365709   EX 31-OCT-19
896019990095365710   EX 31-OCT-19
896019990095365711   EX 24-OCT-19
896019990095365712   EX 27-OCT-19
896019990095365713   EX 01-NOV-19
896019990095365714   EX 06-NOV-19
896019990095365715   EX 09-NOV-19
896019990095365716   EX 30-OCT-19
896019990095365717   EX 30-OCT-19
896019990095365718   EX 12-NOV-19
896019990095365719   EX 03-NOV-19
896019990095365720   EX 04-NOV-19
896019990095365721   EX 04-NOV-19
896019990095365722   EX 04-NOV-19
896019990095365723   EX 04-NOV-19
896019990095365724   EX 01-NOV-19
896019990095365725   EX 08-NOV-19
896019990095365726   EX 27-OCT-19
896019990095365727   EX 03-NOV-19
896019990095365728   EX 05-NOV-19
896019990095365729   EX 05-NOV-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095365730   EX 06-NOV-19
896019990095365731   EX 06-NOV-19
896019990095365732   EX 02-NOV-19
896019990095365733   EX 09-NOV-19
896019990095365734   EX 25-NOV-19
896019990095365735   EX 09-NOV-19
896019990095365736   EX 09-NOV-19
896019990095365737   EX 10-NOV-19
896019990095365738   EX 10-NOV-19
896019990095365739   EX 03-NOV-19
896019990095365740   EX 13-NOV-19
896019990095365741   EX 12-NOV-19
896019990095365742   EX 01-NOV-19
896019990095365743   EX 01-NOV-19
896019990095365744   EX 12-NOV-19
896019990095365745   EX 01-NOV-19
896019990095365746   EX 06-NOV-19
896019990095365747   EX 02-NOV-19
896019990095365748   EX 28-OCT-19
896019990095365749   EX 19-OCT-19
896019990095365750   EX 30-OCT-19

SIM_SERIAL_NO        ST ACTIVATIO
-------------------- -- ---------
896019990095365751   EX 28-OCT-19
896019990095365752   EX 28-OCT-19
896019990095365753   EX 28-OCT-19
896019990095365754   EX 05-NOV-19
896019990095365755   EX 09-NOV-19
